,id,n_victimas,fecha,aaaa,mm,dd,hora,hh,lugar_del_hecho,tipo_de_calle,calle,altura,cruce,direccion_normalizada,comuna,longitud,latitud,participantes,victima,acusado,Tipo_siniestro
10,2016-0015,1,2016-02-14 00:00:00,2016,2,14,05:14:00,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO,Homicidio
11,2016-0016,1,2016-02-14 00:00:00,2016,2,14,22:00:00,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,Homicidio
12,2016-0017,1,2016-02-15 00:00:00,2016,2,15,16:54:00,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO",,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,Homicidio
13,2016-0019,1,2016-02-17 00:00:00,2016,2,17,09:30:00,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO",,"GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
14,2016-0020,1,2016-02-17 00:00:00,2016,2,17,16:00:00,16,SUIPACHA 156,CALLE,SUIPACHA,156.0,,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,Homicidio
15,2016-0021,1,2016-02-17 00:00:00,2016,2,17,23:35:00,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,Homicidio
16,2016-0022,1,2016-02-21 00:00:00,2016,2,21,06:00:00,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,Homicidio
17,2016-0025,1,2016-02-28 00:00:00,2016,2,28,04:50:00,4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.",,27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,Homicidio
18,2016-0026,1,2016-02-28 00:00:00,2016,2,28,07:30:00,7,HOLMBERG Y VEDIA,CALLE,HOLMBERG,,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,Homicidio
19,2016-0027,1,2016-02-28 00:00:00,2016,2,28,09:35:00,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,Homicidio
20,2016-0028,1,2016-03-02 00:00:00,2016,3,2,10:00:00,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,Homicidio
21,2016-0029,1,2016-03-04 00:00:00,2016,3,4,17:30:00,17,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,,DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
22,2016-0031,1,2016-03-08 00:00:00,2016,3,8,12:30:00,12,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.",,"ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,Homicidio
23,2016-0034,1,2016-03-12 00:00:00,2016,3,12,12:30:00,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",,"BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
24,2016-0035,1,2016-03-13 00:00:00,2016,3,13,06:00:00,6,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,Homicidio
25,2016-0036,1,2016-03-14 00:00:00,2016,3,14,00:15:00,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,Homicidio
26,2016-0037,1,2016-03-19 00:00:00,2016,3,19,11:00:00,11,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,,QUIRNO,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,Homicidio
27,2016-0038,1,2016-03-21 00:00:00,2016,3,21,08:06:00,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.",,ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
28,2016-0039,1,2016-03-23 00:00:00,2016,3,23,01:50:00,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",,PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.60883960,MOTO-PASAJEROS,MOTO,PASAJEROS,Homicidio
29,2016-0041,2,2016-03-29 00:00:00,2016,3,29,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,Homicidio
30,2016-0043,1,2016-03-30 00:00:00,2016,3,30,18:15:00,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",,MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,Homicidio
31,2016-0044,1,2016-03-31 00:00:00,2016,3,31,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",,BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,Homicidio
32,2016-0045,1,2016-04-11 00:00:00,2016,4,11,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.",,DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO-SD,MOTO,,Homicidio
33,2016-0047,1,2016-04-15 00:00:00,2016,4,15,05:30:00,5,LIMA 1483,CALLE,LIMA,1483.0,,LIMA 1483,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
34,2016-0048,1,2016-04-15 00:00:00,2016,4,15,17:40:00,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.59170240,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
35,2016-0049,1,2016-04-17 00:00:00,2016,4,17,00:00:00,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,SD-SD,,,Homicidio
36,2016-0050,1,2016-04-19 00:00:00,2016,4,19,09:50:00,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO",,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
37,2016-0051,1,2016-04-20 00:00:00,2016,4,20,04:00:00,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",,"BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,Homicidio
38,2016-0052,1,2016-04-20 00:00:00,2016,4,20,20:00:00,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,,,13,.,.,MOTO-SD,MOTO,,Homicidio
39,2016-0053,1,2016-04-22 00:00:00,2016,4,22,09:30:00,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.48429180,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
40,2016-0054,1,2016-04-23 00:00:00,2016,4,23,21:00:00,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,Homicidio
41,2016-0055,1,2016-04-25 00:00:00,2016,4,25,20:30:00,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL",,"FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,Homicidio
42,2016-0056,1,2016-04-26 00:00:00,2016,4,26,04:45:00,4,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",30.0,,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,Homicidio
43,2016-0058,1,2016-05-04 00:00:00,2016,5,4,14:00:00,14,LIMA 1471,CALLE,LIMA,1471.0,,LIMA 1471,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,Homicidio
44,2016-0059,1,2016-05-08 00:00:00,2016,5,8,16:30:00,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,,LIMA,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
45,2016-0064,1,2016-05-14 00:00:00,2016,5,14,18:11:00,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",,CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
46,2016-0065,1,2016-05-20 00:00:00,2016,5,20,14:40:00,14,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,,ESPINOSA,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,Homicidio
47,2016-0067,1,2016-05-21 00:00:00,2016,5,21,17:00:00,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",,SARAZA,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.67512760,MOTO-PASAJEROS,MOTO,PASAJEROS,Homicidio
48,2016-0068,1,2016-05-22 00:00:00,2016,5,22,22:00:00,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",,PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,Homicidio
49,2016-0069,1,2016-05-23 00:00:00,2016,5,23,03:30:00,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,Homicidio
50,2016-0073,1,2016-06-11 00:00:00,2016,6,11,15:00:00,15,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",3900.0,,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,Homicidio
51,2016-0074,1,2016-06-12 00:00:00,2016,6,12,06:40:00,6,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.",,"SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,Homicidio
52,2016-0075,1,2016-06-12 00:00:00,2016,6,12,23:13:00,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,Homicidio
53,2016-0076,1,2016-06-13 00:00:00,2016,6,13,16:20:00,16,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,,CAMARONES,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
54,2016-0077,1,2016-06-13 00:00:00,2016,6,13,21:52:00,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",,"ALEM, LEANDRO N. AV.","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.37027770,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
55,2016-0078,1,2016-06-13 00:00:00,2016,6,13,23:01:00,23,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,,JUJUY AV.,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.61463830,MOTO-MOTO,MOTO,MOTO,Homicidio
56,2016-0079,1,2016-06-16 00:00:00,2016,6,16,17:13:00,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,,"UDAONDO, GUILLERMO AV.","DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,Homicidio
57,2016-0080,1,2016-06-18 00:00:00,2016,6,18,06:42:00,6,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,"PAZ, GRAL. AV.",,RIVADAVIA AV.,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO-SD,AUTO,,Homicidio
58,2016-0081,1,2016-06-22 00:00:00,2016,6,22,07:42:00,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.",,MACHAIN,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.48721060,-34.55904606,MOTO-AUTO,MOTO,AUTO,Homicidio
59,2016-0082,1,2016-06-27 00:00:00,2016,6,27,18:24:00,18,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,2384.0,,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,Homicidio
60,2016-0083,1,2016-06-28 00:00:00,2016,6,28,20:46:00,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",,PUAN,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,Homicidio
61,2016-0084,1,2016-06-29 00:00:00,2016,6,29,22:00:00,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,"PELLEGRINI, CARLOS",,TUCUMAN,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
62,2016-0085,1,2016-06-29 00:00:00,2016,6,29,22:00:00,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",,EREZCANO,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.65734100,MOTO-MOVIL,MOTO,OTRO,Homicidio
63,2016-0086,1,2016-06-30 00:00:00,2016,6,30,16:10:00,16,AV OLIVERA Y RAMON FALCON,AVENIDA,OLIVERA AV.,,"FALCON, RAMON L.,CNEL.","OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
64,2016-0087,1,2016-07-02 00:00:00,2016,7,3,00:10:00,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,Homicidio
65,2016-0088,1,2016-07-11 00:00:00,2016,7,11,15:30:00,15,CERETTI Y NUÑEZ,CALLE,CERETTI,,NU?EZ,CERETTI y NUÃ‘EZ,12,-58.50151750,-34.56767549,PEATON-AUTO,PEATON,AUTO,Homicidio
66,2016-0089,1,2016-07-14 00:00:00,2016,7,14,06:40:00,6,AV LUGONES Y LA PAMPA,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,LA PAMPA,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,Homicidio
67,2016-0090,1,2016-07-14 00:00:00,2016,7,14,22:00:00,22,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,"SALGUERO, JERONIMO",,RIVADAVIA AV.,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.61112240,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
68,2016-0092,1,2016-07-15 00:00:00,2016,7,15,11:00:00,11,AV GRAL PAZ Y AV LIBERTADOR ,GRAL PAZ,"PAZ, GRAL. AV.",,DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,Homicidio
69,2016-0093,1,2016-07-17 00:00:00,2016,7,17,03:30:00,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",,"MITRE, EMILIO","ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,Homicidio
70,2016-0095,1,2016-07-23 00:00:00,2016,7,23,06:12:00,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,MERCEDES,,MOSCONI GENERAL AV.,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,Homicidio
71,2016-0096,1,2016-07-25 00:00:00,2016,7,25,07:00:00,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,Homicidio
72,2016-0097,1,2016-07-26 00:00:00,2016,7,26,18:45:00,18,SOLIS Y MEXICO,CALLE,SOLIS,,MEXICO,SOLIS y MEXICO,1,-58.39038605,-34.61562810,PEATON-AUTO,PEATON,AUTO,Homicidio
73,2016-0098,1,2016-07-27 00:00:00,2016,7,27,16:08:00,16,AV SAN JUAN Y ALBERTI,AVENIDA,SAN JUAN AV.,,ALBERTI,SAN JUAN AV. y ALBERTI,3,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,Homicidio
74,2016-0099,1,2016-07-29 00:00:00,2016,7,29,16:00:00,16,AV GRAL MOSCONI Y AV GRAL PAZ,GRAL PAZ,MOSCONI GENERAL AV.,,"PAZ, GRAL. AV.","MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,Homicidio
75,2016-0100,1,2016-08-03 00:00:00,2016,8,3,23:27:00,23,AV GRAL PAZ  Y DONADO,GRAL PAZ,"PAZ, GRAL. AV.",,DONADO,"PAZ, GRAL. AV. y DONADO",12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,Homicidio
76,2016-0101,1,2016-08-07 00:00:00,2016,8,7,19:42:00,19,AV GRAL PAZ Y JORGE CHAVEZ,GRAL PAZ,"PAZ, GRAL. AV.",,"CHAVEZ, JORGE","PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-58.52932872,-34.65014993,SD-SD,,,Homicidio
77,2016-0102,1,2016-08-10 00:00:00,2016,8,10,23:37:00,23,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,"PERON, EVA AV.",,"SUAREZ, JOSE LEON","PERON, EVA AV. y SUAREZ, JOSE LEON",9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,Homicidio
78,2016-0104,1,2016-08-14 00:00:00,2016,8,14,21:15:00,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,ZINNY,,SANTIAGO DE COMPOSTELA AV.,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,Homicidio
79,2016-0105,1,2016-08-17 00:00:00,2016,8,17,00:05:00,0,AV FEDERICO LACROZE Y FRAGA,AVENIDA,"LACROZE, FEDERICO AV.",,FRAGA,"LACROZE, FEDERICO AV. y FRAGA",15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
80,2016-0106,1,2016-08-19 00:00:00,2016,8,19,21:02:00,21,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,AVENIDA,"PELLEGRINI, CARLOS",,DEL LIBERTADOR AV.,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,Homicidio
81,2016-0107,1,2016-08-20 00:00:00,2016,8,20,08:22:00,8,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,Homicidio
